DEPTH,CALI,RHOB,GR,NPHI,DT,SP,SDT
102.87,12.8552,,66.6688,0.3518,122.3027,-237.3984,321.0235
103.0224,12.8786,,69.6498,0.3076,118.6976,-237.9844,307.8499
103.1748,12.8786,,81.6247,0.3431,120.8634,-239.4844,316.0834
103.3272,12.8786,,87.734,0.3404,131.5971,-241.4531,344.1913
103.4796,12.8786,,97.7537,0.3511,137.261,-242.8906,372.8505
103.632,12.8669,,99.1839,0.3533,138.1444,-243.1094,386.8914
103.7844,12.8669,,99.6727,0.3553,137.6529,-245.2422,391.4279
103.9368,12.8319,,98.8332,0.4233,136.3275,-247.0781,381.1284
104.0892,12.8319,,93.4648,0.414,136.1735,-248.2188,375.4289
104.2416,12.8319,,92.9765,0.3898,136.5157,-247.4297,375.4114
104.394,12.8319,,85.8991,0.3706,135.953,-246.3359,374.7352
104.5464,12.8085,,87.2731,0.3783,133.9829,-246.2422,374.2519
104.6988,12.8552,,85.2014,0.4092,132.5441,-246.7109,373.9798
104.8512,12.8552,,91.5512,0.4171,132.4831,-247.5859,369.7943
105.0036,12.8786,,94.3325,0.3981,132.3909,-249.7656,369.437
105.156,12.8786,,95.0658,0.4081,131.3664,-248.4688,361.6809
105.3084,12.8552,,88.4038,0.4201,128.9759,-249.125,356.7605
105.4608,12.8319,,89.56,0.4088,127.9021,-249.7188,341.5805
105.6132,12.8552,,88.1591,0.3957,128.2741,-246.5313,332.062
105.7656,12.8786,,95.0656,0.4198,130.0564,-248.8906,340.7357
105.918,12.8436,,93.9871,0.4593,132.7297,-248.9297,343.869
106.0704,12.8552,,98.661,0.483,133.2388,-246.0234,358.9399
106.2228,12.8786,,95.5544,0.4535,134.2285,-245.7891,368.9657
106.3752,12.9136,,91.7429,0.4302,136.1908,-246.0469,371.488
106.5276,12.9019,,87.5521,0.3626,135.9765,-246.1406,378.2642
106.68,12.8669,,92.344,0.3668,134.9869,-244.6953,375.3395
106.8324,12.8319,,93.7085,0.3572,135.6338,-246.0469,378.1913
106.9848,12.8319,,93.9526,0.3644,137.0938,-244.5547,379.4402
107.1372,12.8319,,91.5121,0.3714,137.586,-243.1805,383.0353
107.2896,12.8786,,91.3997,0.3737,138.7137,-242.6172,389.5079
107.442,12.8786,,94.577,0.3943,137.8462,-241.6563,387.3928
107.5944,12.8786,,87.7342,0.3982,136.8782,-241.8828,389.739
107.7468,12.8786,,89.2003,0.406,137.227,-240.7969,388.2325
107.8992,12.9253,,91.1503,0.3771,137.9155,-240.2422,387.8915
108.0516,12.9253,,97.2686,0.3684,138.4093,-239.2969,394.8031
108.204,12.9253,,103.1421,0.374,138.9776,-239.6953,400.3013
108.3564,12.9253,,101.3203,0.3835,139.5154,-238.8359,400.0115
108.5088,12.9486,,103.1073,0.387,139.5496,-238.3438,403.4273
108.6612,12.9486,,105.8018,0.4305,138.2516,-236.3203,405.3479
108.8136,13.042,,102.6653,0.4441,137.7652,-238.1484,412.3358
108.966,12.9719,,105.1421,0.4358,137.0314,-240.9531,413.014
109.1184,13.0653,,96.348,0.4329,136.4662,-237.0547,407.8961
109.2708,12.8786,2.2585,96.7763,0.4462,136.5237,-236.6016,388.0298
109.4232,12.8669,2.2533,96.4975,0.4879,137.3766,-236.5469,382.2508
109.5756,12.8552,2.26,97.6834,0.427,138.2298,-236.5313,390.0058
109.728,12.8786,2.2716,101.6643,0.4362,137.1218,-236.0703,394.8418
109.8804,12.8552,2.2833,99.393,0.3889,135.9704,-235.4922,393.112
110.0328,12.8786,2.282,99.4649,0.3937,135.914,-234.4531,380.0205
110.1852,12.8552,2.2753,96.4628,0.4236,136.921,-235.4531,374.4923
110.3376,12.8436,2.2703,95.6955,0.4505,138.2377,-235.5313,379.8711
110.49,12.8319,2.2755,99.0773,0.4774,139.3619,-234.0625,386.5087
110.6424,12.7852,2.2832,104.0512,0.4388,140.3438,-235.4063,398.4623
110.7948,12.7852,2.2758,97.4721,0.4014,139.5568,-235.1875,400.6211
110.9472,12.8085,2.2709,91.4462,0.4119,138.0092,-232.7031,400.788
111.0996,12.7852,2.2631,87.4815,0.4193,137.8927,-232.0234,400.8508
111.252,12.7852,2.2644,98.2033,0.4504,138.5906,-230.2891,398.2539
111.4044,12.7619,2.2595,101.7845,0.4051,138.5723,-229.9219,398.2843
111.5568,12.7852,2.2577,103.5638,0.3868,138.4688,-227.1328,399.6507
111.7092,12.7852,2.2643,103.5913,0.4313,138.7365,-226.8203,401.0051
