DEPTH,CALI,CHKS:1,CHKS:2,RHOB,GR,DT,RES,SP
194.7496,9.9186,,,2.3032,84.0174,155.7822,1.2312,47.8602
194.902,9.9367,,,2.3036,85.9323,156.5857,1.2421,47.5069
195.0544,9.982,,,2.3088,86.2801,147.2482,1.2531,47.2854
195.2068,10.0149,,,2.3103,86.1318,138.0869,1.255,47.5121
195.3592,10.0459,,,2.3006,84.163,135.07,1.2434,47.728
195.5116,10.0364,,,2.2917,78.9176,135.3997,1.2215,46.5421
195.664,9.995,,,2.2824,76.3881,135.8056,1.199,45.6609
195.8164,9.9351,,,2.2727,78.6393,136.1538,1.1932,46.2115
195.9688,9.8497,,,2.277,81.3914,136.135,1.2201,46.8313
196.1212,9.8166,,,2.2871,82.7572,135.1566,1.2805,47.2523
196.2736,9.804,,,2.2997,82.8216,132.1645,1.3957,46.8805
196.5784,9.7624,,,2.3568,75.6588,118.9984,1.8472,47.0305
196.7308,9.8478,,,2.4253,69.4024,112.1512,2.0567,47.2424
196.8832,9.9033,,,2.4607,67.2641,110.2728,1.8713,45.8403
197.0356,9.8883,,,2.449,73.9579,112.9715,1.5648,45.3013
197.188,9.8679,,,2.3949,84.8734,118.1167,1.4963,46.2261
197.3404,9.8463,,,2.3126,88.8428,121.9547,1.701,46.4128
197.4928,9.818,,,2.3023,86.4702,121.4781,2.105,45.8515
197.6452,9.8423,,,2.2902,84.95,118.8304,2.3447,45.6611
197.7976,9.8399,,,2.274,84.7883,118.1332,2.2956,45.8649
197.95,9.8547,,,2.2731,85.6296,120.2181,2.1922,46.3717
198.1024,9.9057,,,2.2659,87.6115,123.0723,2.205,46.2422
198.2548,9.8657,,,2.2495,86.0152,123.7196,2.3828,46.2555
198.4072,9.8581,,,2.2376,79.3498,121.3941,2.6335,46.2964
198.5596,9.9122,,,2.2483,73.2744,118.9354,2.771,45.8933
198.712,9.9445,,,2.2594,71.957,117.6646,2.7662,45.432
198.8644,9.9696,,,2.3003,71.7589,117.1285,2.7321,45.0044
199.0168,10.0044,,,2.3186,71.7181,116.6997,2.7125,44.9552
199.1692,10.0304,,,2.3163,72.8621,117.2581,2.6701,45.0734
199.3216,10.0475,,,2.3179,74.9082,118.4496,2.6201,45.1883
199.474,10.0351,,,2.2972,77.3015,120.0854,2.5734,45.3399
199.6264,10.0128,,,2.2844,79.3727,121.384,2.5407,45.7087
199.7788,10.0178,,,2.2714,79.7055,121.85,2.5854,46.4061
199.9312,10.0483,,,2.2656,77.6954,121.5011,2.6935,46.7678
200.0836,10.0499,,,2.274,76.7766,120.0656,2.7763,46.9492
200.236,10.1168,,,2.2809,78.2094,119.275,2.7973,47.1742
200.3884,10.1924,,,2.2865,79.9519,119.4665,2.8451,46.3701
200.5408,10.2019,,,2.2949,77.6906,119.0705,2.9838,46.2172
200.6932,10.3514,,,2.301,72.4225,117.5061,3.1326,46.8032
200.8456,10.3948,,,2.3091,68.7452,115.7593,3.1437,45.8211
200.998,10.2823,,,2.3032,68.293,113.7665,3.049,45.4205
201.1504,10.2362,,,2.286,70.6075,112.829,3.0051,45.8413
201.3028,10.2089,,,2.239,71.0795,113.8432,3.0203,47.4765
201.4552,10.1838,,,2.1959,66.39,115.1384,3.0042,47.3964
201.6076,10.1429,,,2.1879,60.4437,116.0928,2.9583,45.9864
201.76,10.097,,,2.1891,58.0894,117.0567,2.9299,45.7833
201.9124,10.0597,,,2.2195,59.0669,116.9898,2.9191,46.6482
202.0648,10.0646,,,2.2605,61.3619,115.7309,2.9336,47.0287
202.2172,10.0411,,,2.2704,63.0826,114.9302,2.9863,46.8876
202.3696,10.0192,,,2.2737,64.968,114.7309,3.0338,46.9506
202.522,10.0007,,,2.2787,67.4973,114.2218,2.9882,47.5123
202.6744,9.9791,,,2.2863,69.7989,113.6094,2.8063,47.4547
202.8268,9.9547,,,2.3057,71.3657,113.4591,2.5707,46.5732
202.9792,9.9302,,,2.3313,73.9134,113.8061,2.329,46.3156
203.1316,9.9007,,,2.3582,79.4178,114.9511,2.0997,46.4481
203.284,9.8845,,,2.3772,87.8531,120.6255,1.8934,47.289
203.4364,9.8785,,,2.3822,91.7756,130.8455,1.7279,47.9714
203.5888,9.9067,,,2.3795,89.2445,136.8692,1.6486,47.7015
203.7412,9.9688,,,2.3641,87.5025,135.7934,1.6074,47.0079
203.8936,10.02,,,2.2141,88.0254,134.7372,1.4943,46.8099
204.046,10.0318,,,2.0136,87.3935,137.228,1.3337,46.7841
204.1984,9.94,,,1.9722,87.2604,139.921,1.2432,46.7092
204.3508,9.861,,,1.9625,89.9533,143.9715,1.2539,47.4879
204.5032,9.8709,,,2.0298,92.8812,147.4064,1.3106,47.707
204.6556,9.8718,,,2.2366,96.4062,142.4158,1.343,46.7248
